issues,issues_group,tools
display,display,emmc
touch ,touch,miracle
network ,network,mrt
charging,charging,ifu
headphone,headphone,edl
speaker,speaker,odin
ringer,ringer,umt
camera,camera,mtk
mic,mic,adb
battery,battery,ufst
cabinet,cabinet,combination
finger sensor,sensor,microscope
software,software,firmware
flash,flash,
unlock,unlock,
pin out,pinout,
pattern,unlock,
account,unlock,
frp,frp,
software update,software,
no service,network,
board change,board,
pcb,board,
bypass,bypass,
id remove,id remove,
lock,unlock,
isp,pinout,
pinout,pinout,
google play,app,
map,app,
youtube,app,
mdm,mdm,
recovery,recovery,
puk,puk,
hang on logo,hang_on_logo,
sensor,sensor,
format,format,
password,unlock,
logo,hang_on_logo,
antivirus,app,
radio,radio,
ic,ic,
bluetooth,bluetooth,
wifi,wifi,
micloud,micloud,
