brand,models
acer,liquid e3
acer,liquid z4
acer,iconia b1-721
acer,iconia b1-720
acer,iconia a1-830
acer,liquid z5
acer,liquid s2
acer,liquid z3
acer,liquid s1
acer,iconia tab a3
acer,iconia tab a1-811
acer,iconia tab a1-810
acer,liquid e2
acer,liquid z2
acer,liquid c1
acer,liquid e1
acer,iconia tab b1-710
acer,iconia tab b1-a71
acer,iconia tab a110
acer,liquid z110
acer,liquid gallant e350
acer,liquid gallant duo
acer,liquid glow e330
acer,cloudmobile s500
acer,iconia tab a210
acer,iconia tab a200
acer,iconia tab a701
acer,iconia tab a700
acer,iconia tab a511
acer,iconia tab a510
acer,allegro
acer,liquid express e320
acer,iconia tab a501
acer,iconia smart
acer,iconia tab a500
acer,iconia tab a101
acer,iconia tab a100
acer,liquid mini e310
acer,betouch e210
acer,betouch e140
acer,liquid mt
acer,betouch t500
acer,betouch e130
acer,betouch e120
acer,stream
acer,liquid e
acer,neotouch p400
acer,betouch e400
acer,neotouch p300
acer,betouch e110
acer,liquid
acer,neotouch
acer,betouch e200
acer,betouch e100
acer,betouch e101
acer,dx650
acer,m900
acer,f900
acer,x960
acer,dx900
alcatel,pixi 4 plus power
alcatel,fierce 4
alcatel,x1
alcatel,pixi 4
alcatel,flash plus 2
alcatel,pop 7 lte
alcatel,pop 4s
alcatel,pop 4+
alcatel,pop 4
alcatel,idol 4s windows
alcatel,idol 4s
alcatel,idol 4
alcatel,fierce xl
alcatel,caretime
alcatel,pixi 4  3g
alcatel,pixi 3  lte
alcatel,pop 3
alcatel,watch
alcatel,go watch
alcatel,flash 2
alcatel,10.16g
alcatel,2007
alcatel,idol 3c
alcatel,pixi 3
alcatel,pixi first
alcatel,pop up
alcatel,pop star lte
alcatel,pop star
alcatel,go play
alcatel,flash plus
alcatel,pop astro
alcatel,flash
alcatel,idol 3
alcatel,orange klif
alcatel,pixi 3  3g
alcatel,pop 10
alcatel,pixi 3  firefox
alcatel,pop d3
alcatel,pop d1
alcatel,pop icon
alcatel,fire c 2g
alcatel,pop 2  premium
alcatel,pop 2
alcatel,pop 2  dual sim
alcatel,fierce 2
alcatel,evolve 2
alcatel,pop 8s
alcatel,hero 8
alcatel,hero 2
alcatel,pixi 2
alcatel,pop d5
alcatel,pop c2
alcatel,pixi 8
alcatel,2012
alcatel,2010
alcatel,2052
alcatel,2040
alcatel,2005
alcatel,pop 7s
alcatel,pixi 7
alcatel,pop s9
alcatel,pop s7
alcatel,pop s3
alcatel,fire 7
alcatel,fire s
alcatel,fire e
alcatel,fire c
alcatel,idol 2 s
alcatel,idol 2
alcatel,idol 2 mini s
alcatel,idol 2 mini
alcatel,pop fit
alcatel,2001
alcatel,2000
alcatel,idol x+
alcatel,pop c9
alcatel,pop 8
alcatel,pop 7
alcatel,fierce
alcatel,evolve
alcatel,pop c7
alcatel,pop c5
alcatel,pop c3
alcatel,pop c1
alcatel,idol alpha
alcatel,one touch evo 8hd
alcatel,hero
alcatel,idol s
alcatel,idol mini
alcatel,one touch t10
alcatel,one touch snap lte
alcatel,one touch pixi
alcatel,one touch snap
alcatel,idol x
alcatel,one touch fire
alcatel,one touch star
alcatel,one touch scribe easy
alcatel,one touch evo 7
alcatel,one touch evo 7 hd
alcatel,one touch tab 8 hd
alcatel,one touch tab 7
alcatel,one touch tab 7 hd
alcatel,one touch idol ultra
alcatel,one touch idol
alcatel,one touch t'pop
alcatel,one touch s'pop
alcatel,one touch m'pop
alcatel,one touch x'pop
alcatel,one touch scribe hd-lte
alcatel,one touch scribe x
alcatel,one touch scribe hd
alcatel,view
alcatel,ot-983
alcatel,ot-997d
alcatel,ot-997
alcatel,ot-992d
alcatel,ot-978
alcatel,ot-988 shockwave
alcatel,ot-993
alcatel,ot-903
alcatel,ot-838
alcatel,ot-668
alcatel,ot-605
alcatel,ot-986
alcatel,ot-991
alcatel,ot-916
alcatel,ot-720
alcatel,ot-902
alcatel,ot-819 soul
alcatel,ot-870
alcatel,ot-595
alcatel,ot-358
alcatel,ot-310
alcatel,ot-318d
alcatel,ot-317d
alcatel,ot-308
alcatel,ot-282
alcatel,ot-292
alcatel,ot-228
alcatel,ot-915
alcatel,ot-985
alcatel,ot-810d
alcatel,ot-810
alcatel,ot-906
alcatel,ot-995
alcatel,ot-990
alcatel,ot-910
alcatel,ot-908f
alcatel,ot-908
alcatel,ot-905
alcatel,ot-900
alcatel,ot-891 soul
alcatel,ot-918
alcatel,ot-918d
alcatel,ot-890d
alcatel,ot-890
alcatel,ot-888
alcatel,ot-818
alcatel,ot-813f
alcatel,ot-807
alcatel,ot-813d
alcatel,ot-803
alcatel,ot-799 play
alcatel,ot-690
alcatel,ot-665
alcatel,ot-602
alcatel,ot-585
alcatel,ot-506
alcatel,ot-385
alcatel,ot-361
alcatel,ot-355
alcatel,ot-330
alcatel,ot-306
alcatel,ot-223
alcatel,ot-217
alcatel,ot-213
alcatel,ot-209
alcatel,ot-117
alcatel,ot-113
alcatel,ot-112
alcatel,ot-109
alcatel,ot-105
alcatel,ot-706
alcatel,net
alcatel,ot-808
alcatel,ot-606 one touch chat
alcatel,ot-255
alcatel,ot-252
alcatel,ot-710
alcatel,ot-108
alcatel,ot-216
alcatel,ot-206
alcatel,ot-909 one touch max
alcatel,miss sixty
alcatel,ot-880 one touch xtra
alcatel,ot-208
alcatel,ot-301
alcatel,ot-300
alcatel,ot-980
alcatel,ot-806
alcatel,ot-802 wave
alcatel,ot-305
alcatel,ot-380
alcatel,ot-505
alcatel,ot-508a
alcatel,ot-565
alcatel,ot-106
alcatel,ot-800 one touch chrome
alcatel,ot-800 one touch tribe
alcatel,ot-708 one touch mini
alcatel,ot-660
alcatel,ot-383
alcatel,ot-203
alcatel,ot-103
alcatel,ot-600
alcatel,crystal
alcatel,miss sixty 2009
alcatel,elle glamphone
alcatel,ot-363
alcatel,roadsign
alcatel,ot-303
alcatel,ot-222
alcatel,ot-280
alcatel,ot-202
alcatel,ot-s121
alcatel,ot-111
alcatel,ot-102
alcatel,mandarina duck moon
alcatel,mandarina duck
alcatel,ot-i650 sport
alcatel,ot-i650 pro
alcatel,ot-v770
alcatel,ot-v670
alcatel,ot-v607a
alcatel,ot-v570
alcatel,ot-v270
alcatel,ot-v212
alcatel,ot-s626a
alcatel,ot-s521a
alcatel,ot-s520
alcatel,ot-s621
alcatel,ot-s920
alcatel,ot-s320
alcatel,ot-s319
alcatel,ot-s218
alcatel,ot-s215a
alcatel,ot-s211
alcatel,ot-s210
alcatel,ot-s120
alcatel,ot-s107
alcatel,elle no 3
alcatel,ot-c825
alcatel,ot-c717
alcatel,ot-c707
alcatel,ot-c701
alcatel,ot-c700a
alcatel,ot-c507
alcatel,ot-e227
alcatel,ot-e225
alcatel,ot-e221
alcatel,ot-e207
alcatel,ot-e205
alcatel,ot-e201
alcatel,ot-e101
alcatel,lollipops
alcatel,ot-e220
alcatel,ot-e805
alcatel,ot-e230
alcatel,ot-c635
alcatel,ot-c630
alcatel,ot-e801
alcatel,ot-e100
alcatel,ot-c550
alcatel,ot-e265
alcatel,ot-e105
alcatel,ot-e260
alcatel,ot-c750
alcatel,ot-s853
alcatel,ot-s850
alcatel,ot-c560
alcatel,ot-c555
alcatel,ot-c552
alcatel,ot-c551
alcatel,ot-c656
alcatel,ot-c652
alcatel,ot-c651
alcatel,ot-e259
alcatel,ot-e256
alcatel,ot-e257
alcatel,ot-e160
alcatel,ot-e252
alcatel,ot-e159
alcatel,ot-e158
